No,user_name,text,label
1,Arnold Mamesah MA,Fobia #COVID19 muncul bersamaan dgn #depresi #sosial dlm berbagai #polemik #panikdemik #paranoid #psikosomatik akibâ€¦ https://t.co/obkUVoUoQd,positif
2,Himmah Online,"[Berita]
Program vaksinasi masih menjadi kontroversial di khalayak umum terkait pengaruh efikasi (kemanjuran secaraâ€¦ https://t.co/fNMklyL9aW",positif
3,Inaz Putri,"jangan sampai kecolongan, yuk kita terus menjaga kesehatan dan ikut progaram vaksinasi #indonesiasehat #Vaksinâ€¦ https://t.co/v3B7i1e5Li",positif
4,Dicky Syaiful Anwar,Ide sih untuk yg masih menolak di vaksin. Demi kebaikan besama ayo bantu pemerintah untuk sukseskan vaksinâ€¦ https://t.co/DhDiyX1wve,positif
5,Karya Untuk Indonesia,"Halo Sobat Kui, vaksinasi bisa berpengaruh untuk pemulihan ekonomi kita, loh! Kok bisa? Baca disini ya!â€¦ https://t.co/FgqFpvgnMp",positif
6,Seputar Info Indonesia,"Dukung program vaksinasi nasional masyarakat sehat, corona lewat, dan ekonomi meningkat.
.
#Covid19 #VirusCoronaâ€¦ https://t.co/UFh6qksA34",positif
7,Diskominfo Natuna,"Kilas Balik Observasi WNI Wuhan di Natuna

https://t.co/y6CMHWyqHc

#diskominfonatuna
#natunakab
#natuna
#Covid19â€¦ https://t.co/igBhfgVgyb",positif
8,Ns. Bayu Aji Sismanto,#vaksin untuk #indonesia https://t.co/URgujrcKUn,positif
9,DiskominfoKotaBogor,Tak Kenal maka Tak Kebal. Vaksin menjadi bukti manusia berjuang menjaga eksistensinya di dunia ini. Vaksin juga menâ€¦ https://t.co/tQ97R12mXs,positif
10,Indah Nur Hidayah,Sistem satu data mendukung Vaksinasi di Indonesia #Vaksin #Covid19 #CoronaVirus #Kesehatan https://t.co/gqyLHMdhOh,positif
11,lemahku,"https://t.co/Te1d94JHHM
Siap menerima vaksin covid 19

#vaksinhalal
#vaksinsiap34propinsi
#vaksicovid19
#jokowidodoâ€¦ https://t.co/zinsBbp9Hn",positif
12,BaBe - Baca Berita,Apa Perbedaan Vaksin China Sinovac dan Sinopharm serta Merek Lain? #Vaksin #Perusahaanfarmasi #Virus #Farmasiâ€¦ https://t.co/rJ2Ltk3vGz,positif
13,BaBe - Baca Berita,Dua Lagi Obat yang Dapat Selamatkan Nyawa Pasien COVID-19 Ditemukan #Infus #Virus #Wabah #Radang #Vaksinâ€¦ https://t.co/QKrbcMVHwn,positif
14,Randy Aldino,Masker bekas rawan tertular virus. Pakai masker baru utk mencegah secara maksimal penularan virus covid-19.â€¦ https://t.co/TF6sHl4GFd,positif
15,BP2D Jabar | #75TahunJabar,"27 wakil supervisor kab/kota sudah terlatih, 67 rumah sakit umum di 27 kabupaten/kota sudah terlatih, 18 RS TNI, Poâ€¦ https://t.co/7yOtPQWOdW",positif
16,Disperindag Prov. Jateng #jateng70 #hutri75,"Mengenal Vaksin Covid-19 !!
#vaksin
#vaksincorona https://t.co/H64BZ8tVoC",positif
17,Rakyat Merdeka,"Top News Koran Rakyat Merdeka

Jelang Imlek 
China Target 50 Juta Warga Sudah Divaksin

#China #Imlek #Vaksinâ€¦ https://t.co/XPwhSIdP8r",positif
18,Seputar Info Indonesia,"Lawan #COVID19 dengan #solidaritas bukan stigma.

#Covid19 #VirusCorona #SocialDistancing #PhysicalDistancingâ€¦ https://t.co/KAJ1uaRc0M",positif
19,Seputar Info Indonesia,"Vaksinasi Covid-19 segera dimulai, tetap jaga protokol kesehatan.

#Covid19 #VirusCorona #SocialDistancingâ€¦ https://t.co/TvhHTlh3Cg",positif
20,jabarprov.go.id | #75TahunJabar,"Sampurasun wargi jabar ðŸ™
.
Yuk wargi kita lihat daftar penyakit apa saja yang boleh terima vaksin covd-19 sinovac ðŸ˜Šâ€¦ https://t.co/BRgmNoipYl",positif
21,dinkes pati,"Mari siapkan diri untuk vaksinasi saat vaksin siap.

Tetap laksanakan protokol kesehatan 3M: Memakai masker denganâ€¦ https://t.co/fcXhku8aB8",positif
22,Ananda Jaya,"Vaksinya halal yaa

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/8X6flriIgM",positif
23,Ananda Jaya,"Menjadi orang pertama yang di suntik

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/nwSXga20NO",positif
24,Ananda Jaya,"Lebih baik mencegah toh

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/N79qIIX0gV",positif
25,Ananda Jaya,"Sudah mendapat status halal yaa

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/wxe2pNevmE",positif
26,Ananda Jaya,"Simak yang boleh dan tidak

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/NkSUOhhiq5",positif
27,Balai Pustaka,"Jadi, #SobatBP sudah terima SMS dari Kemenkes sebagai salah satu penerima vaksin?

#vaksin #vaksinhalal #vaksinasiâ€¦ https://t.co/hNqrqrc2DE",positif
28,Rakyat Merdeka,"Top News Koran Rakyat Merdeka

DPR Selesai Reses 
Pak Presiden, Calon Kapolri Diajukan Hari Rabu Juga?

@jokowiâ€¦ https://t.co/eRahd3agw3",positif
29,CommunityID,"Hallo Teman Muda!

Vaksin Covid 19 menuai beberapa tanggapan pro dan kontra di masyarakat Indonesia. Teman Muda, Suâ€¦ https://t.co/Me5giOTl8d",positif
30,Rakyat Merdeka,"Top News Koran Rakyat Merdeka

Dua Hari Jelang Divaksin Corona
Jokowi Sehat Walafiat

@jokowi #Vaksin #vaksincoronaâ€¦ https://t.co/GsEgWjRfJx",positif
31,Pikiran Rakyat,"Berharap Tak Muncul Lagi Gelombang Pandemi, Tiongkok Gratiskan Vaksin Covid-19 untuk Warganya
#Pandemi #Tiongkokâ€¦ https://t.co/iSzjZMl244",positif
32,BaBe - Baca Berita,Hari Ini BPOM Putuskan Izin Darurat Vaksin Corona Sinovac #Vaksin #Vaksinasi #BadanPOM #Virus #Plaseboâ€¦ https://t.co/B6sYgsZwxC,positif
33,Fedy F. Sarabiana,Dosen FISS UNPAS aing ini. Mantap pak @budi_dalton ðŸ˜‚ #Vaksin https://t.co/Co5ymTspJi,positif
34,Redaksi Sinar Harapan,Mentri Koordinator (Menko) Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan memastikan program vaksinasi COâ€¦ https://t.co/HuHt3R7MLo,positif
35,NETRALNEWS,Pemerintah Indonesia diwakili Menteri Kesehatan Budi Gunadi Sadikin dan Menteri Keuangan Sri Mulyani telah menandaâ€¦ https://t.co/Giqe0PvvDu,positif
36,KITA Kerapatan Indonesia Tanah Air,"Part. VII

Imunisasi Menguatkan Generasi Bangsa

Imunisasi adalah bentuk upaya pemerintah Menguatkan Generasi penerâ€¦ https://t.co/y0h8BDR6cg",positif
37,newsmerahputih,"MUI Pusat telah menetapkan bahwa vaksin COVID-19 produksi Sinovac halal dan suci.

#merahputihcom #MUI #vaksinâ€¦ https://t.co/71Q7GYIsOe",positif
38,projer,"percaya vaksin akhiri pandemi

Hotline #Vaksin #Covid 

#IndonesiaMaju
#Jokowi 
#Jokowidodo https://t.co/XzbkPqonMa",positif
39,Geisha Ayu,Ayo Dukung!! Hidup sehat tanpa Covid-19 dengan melakukan vaksinasi covid-19 #vaksinasi https://t.co/1bcPaoTNmO,positif
40,Mia Amelia,Majelis Ulama endonesia psstikan vaksin Covid-19 dr sinovac halal n sucinya #vaksinasi https://t.co/VGCYWNRzAQ,positif
41,Deandra Putri,yuks suport !!hidupku sehad tnpa Covid-19 dngan mlkukn vaksinasi covid-19 #vaksinasi https://t.co/C4KBel70aQ,positif
42,Jihan Keisha,yuks dkung !prgrm vaksinasi covid-19 spy wrga Sumut bbs dr covid-19 #vaksinasi https://t.co/bpiqbkortp,positif
43,Sukma Putri,necis ustazah Republik Indonesia yakinkan vaksin covid-19 dari sinovac resmi dan sakral #vaksinasi https://t.co/K1heB5DEhn,positif
44,Rania Putri,yuk bopong !!membesar waras minus covid-19 dengan melayani vaksinasi covid-19 #vaksinasi https://t.co/RvlhnrurxR,positif
45,Rina Ayu,yuk bopong !agenda vaksinasi covid-19 biar orang Provinsi Sumatera Utara percuma dari covid-19 #vaksinasi https://t.co/hEPrVEffEY,positif
46,Syasqia Ayu,Majelis Ulama endonesia psstikan vaksin Covid-19 dr sinovac halal dn sucinya #vaksinasi https://t.co/byJ4BWRgcP,positif
47,Jeihani Putri,ayok support !!hidupku damang tampa Covid-19 dgan melakukn vaksinasi covid-19 #vaksinasi https://t.co/hijXVOGA7m,positif
48,Ajeng Sunthi,nyok dkng !prgrm vaksinasi covid-19 spya wrga Sumut bbs dri covid-19 #vaksinasi https://t.co/Ca0viN8ilx,positif
49,RMOL Jateng,"Soal Distribusi #Vaksin di #salatiga , Ketua DPRD Ingin Ada Simulasi #KlikRMOL 
https://t.co/lC6FYwysCz",positif
