No,user_name,text,label,lowercase,remove,tweet_clean
1,Arnold Mamesah MA,Fobia #COVID19 muncul bersamaan dgn #depresi #sosial dlm berbagai #polemik #panikdemik #paranoid #psikosomatik akibâ€¦ https://t.co/obkUVoUoQd,positif,fobia #covid19 muncul bersamaan dgn #depresi #sosial dlm berbagai #polemik #panikdemik #paranoid #psikosomatik akibâ€¦ https://t.co/obkuvouoqd,fobia muncul bersamaan dgn dlm berbagai akib ,"['fobia', 'muncul', 'bersamaan', 'dgn', 'dlm', 'akib']"
2,Himmah Online,"[Berita]
Program vaksinasi masih menjadi kontroversial di khalayak umum terkait pengaruh efikasi (kemanjuran secaraâ€¦ https://t.co/fNMklyL9aW",positif,"[berita]
program vaksinasi masih menjadi kontroversial di khalayak umum terkait pengaruh efikasi kemanjuran secaraâ€¦ https://t.co/fnmklyl9aw",[berita]program vaksinasi masih menjadi kontroversial di khalayak umum terkait pengaruh efikasi kemanjuran secara ,"['berit', 'program', 'vaksinasi', 'kontroversial', 'khalayak', 'terkait', 'pengaruh', 'efikasi', 'kemanjuran']"
3,Inaz Putri,"jangan sampai kecolongan, yuk kita terus menjaga kesehatan dan ikut progaram vaksinasi #indonesiasehat #Vaksinâ€¦ https://t.co/v3B7i1e5Li",positif,"jangan sampai kecolongan, yuk kita terus menjaga kesehatan dan ikut progaram vaksinasi #indonesiasehat #vaksinâ€¦ https://t.co/v3b7i1e5li",jangan sampai kecolongan yuk kita terus menjaga kesehatan dan ikut progaram vaksinasi ,"['kecolongan', 'yuk', 'menjaga', 'kesehatan', 'progaram', 'vaksinasi']"
4,Dicky Syaiful Anwar,Ide sih untuk yg masih menolak di vaksin. Demi kebaikan besama ayo bantu pemerintah untuk sukseskan vaksinâ€¦ https://t.co/DhDiyX1wve,positif,ide sih untuk yg masih menolak di vaksin. demi kebaikan besama ayo bantu pemerintah untuk sukseskan vaksinâ€¦ https://t.co/dhdiyx1wve,ide sih untuk yg masih menolak di vaksin demi kebaikan besama ayo bantu pemerintah untuk sukseskan vaksin ,"['ide', 'sih', 'yg', 'menolak', 'vaksin', 'kebaikan', 'besama', 'ayo', 'bantu', 'pemerintah', 'sukseskan', 'vaksin']"
5,Karya Untuk Indonesia,"Halo Sobat Kui, vaksinasi bisa berpengaruh untuk pemulihan ekonomi kita, loh! Kok bisa? Baca disini ya!â€¦ https://t.co/FgqFpvgnMp",positif,"halo sobat kui, vaksinasi bisa berpengaruh untuk pemulihan ekonomi kita, loh! kok bisa? baca disini ya!â€¦ https://t.co/fgqfpvgnmp",halo sobat kui vaksinasi bisa berpengaruh untuk pemulihan ekonomi kita loh kok bisa baca disini ya ,"['halo', 'sobat', 'kui', 'vaksinasi', 'berpengaruh', 'pemulihan', 'ekonomi', 'loh', 'baca', 'ya']"
6,Seputar Info Indonesia,"Dukung program vaksinasi nasional masyarakat sehat, corona lewat, dan ekonomi meningkat.
.
#Covid19 #VirusCoronaâ€¦ https://t.co/UFh6qksA34",positif,"dukung program vaksinasi nasional masyarakat sehat, corona lewat, dan ekonomi meningkat.
.
#covid19 #viruscoronaâ€¦ https://t.co/ufh6qksa34",dukung program vaksinasi nasional masyarakat sehat corona lewat dan ekonomi meningkat  ,"['dukung', 'program', 'vaksinasi', 'nasional', 'masyarakat', 'sehat', 'corona', 'ekonomi', 'meningkat']"
7,Diskominfo Natuna,"Kilas Balik Observasi WNI Wuhan di Natuna

https://t.co/y6CMHWyqHc

#diskominfonatuna
#natunakab
#natuna
#Covid19â€¦ https://t.co/igBhfgVgyb",positif,"kilas balik observasi wni wuhan di natuna

https://t.co/y6cmhwyqhc

#diskominfonatuna
#natunakab
#natuna
#covid19â€¦ https://t.co/igbhfgvgyb",kilas balik observasi wni wuhan di natuna     ,"['kilas', 'observasi', 'wni', 'wuhan', 'natuna']"
8,Ns. Bayu Aji Sismanto,#vaksin untuk #indonesia https://t.co/URgujrcKUn,positif,#vaksin untuk #indonesia https://t.co/urgujrckun,untuk ,[]
9,DiskominfoKotaBogor,Tak Kenal maka Tak Kebal. Vaksin menjadi bukti manusia berjuang menjaga eksistensinya di dunia ini. Vaksin juga menâ€¦ https://t.co/tQ97R12mXs,positif,tak kenal maka tak kebal. vaksin menjadi bukti manusia berjuang menjaga eksistensinya di dunia ini. vaksin juga menâ€¦ https://t.co/tq97r12mxs,tak kenal maka tak kebal vaksin menjadi bukti manusia berjuang menjaga eksistensinya di dunia ini vaksin juga men ,"['kenal', 'kebal', 'vaksin', 'bukti', 'manusia', 'berjuang', 'menjaga', 'eksistensinya', 'dunia', 'vaksin', 'men']"
10,Indah Nur Hidayah,Sistem satu data mendukung Vaksinasi di Indonesia #Vaksin #Covid19 #CoronaVirus #Kesehatan https://t.co/gqyLHMdhOh,positif,sistem satu data mendukung vaksinasi di indonesia #vaksin #covid19 #coronavirus #kesehatan https://t.co/gqylhmdhoh,sistem satu data mendukung vaksinasi di indonesia ,"['sistem', 'data', 'mendukung', 'vaksinasi', 'indonesia']"
